SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME
"5212","H.A. BROWN SCHOOL HEAD START","BROWN, H.A. SCHOOL HEAD START","1946 E. SERGEANT ST.","19125",,"PHILADELPHIA","PA","2152914717","PK","PK",,"EARLY CHILDHOOD"
"4407","BRIGHT BEGINNINGS HEAD START","BRIGHT BEGINNINGS HEAD START","2001 W. LEHIGH AVE.","19132",,"PHILADELPHIA","PA","2152272934","PK","PK",,"EARLY CHILDHOOD"
"6242","FULTON SCHOOL HEAD START","FULTON SCHOOL HEAD START","60 E. HAINES ST.","19144",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"5283","FAIRHILL SCHOOL HEAD START","FAIRHILL SCHOOL HEAD START","601 W. SOMERSET ST.","19133",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"5398","POTTER THOMAS HEAD START","POTTER THOMAS HEAD START","3001 N. 6TH ST.","19133",,"PHILADELPHIA","PA","2152274423","PK","PK",,"EARLY CHILDHOOD"
"1590","SPIN-FRANKFORD HEAD START","SPIN-FRANKFORD HEAD START","1642 ORTHODOX STREET","19124",,"PHILADELPHIA","PA","2158313184","PK","PK",,"EARLY CHILDHOOD"
"1610","WOMEN'S CHRISTIAN HEAD START","WOMEN'S CHRISTIAN HEAD START","1722-42 CECIL B. MOORE AVENUE","19121",,"PHILADELPHIA","PA","2152362111","PK","PK",,"EARLY CHILDHOOD"
"1620","CHINATOWN LEARNING CENTER HS","CHINATOWN LEARNING CENTER HS","1034 SPRING ST.","19107",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"1630","FEL - PALEY HEAD START","FEL - PALEY HEAD START","2199 STRAHLE ST.","19152",,"PHILADELPHIA","PA","2156767550","PK","PK",,"EARLY CHILDHOOD"
"1680","KINDER ACADEMY - MAYFAIR HS","KINDER ACADEMY - MAYFAIR HS","6300 HARBISON AVE.","19149",,"PHILADELPHIA","PA","2156779656","PK","PK",,"EARLY CHILDHOOD"
"1820","METHODIST SVCS./EDUCARE HS","METHODIST SVCS./EDUCARE HS","4300 MONUMENT RD.","19131",,"PHILADELPHIA","PA","2158771925","PK","PK",,"EARLY CHILDHOOD"
"8352","SPRUANCE SCHOOL HEAD START","SPRUANCE SCHOOL HEAD START","6401 HORROCKS ST.","19149",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"2641","SOUTHWARK SCHOOL HEAD START","SOUTHWARK SCHOOL HEAD START","1835 S. 9TH ST.","19148",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"8342","SOLIS-COHEN SCHOOL HEAD START","SOLIS-COHEN SCHOOL HEAD START","7001 HORROCKS ST.","19149",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"2070","PORTERS DAY CARE HEAD START","PORTERS DAY CARE HEAD START","1434-38 BELFIELD AVENUE","19140",,"PHILADELPHIA","PA","2153292300","PK","PK",,"EARLY CHILDHOOD"
"2080","SETTLEMENT MUSIC HEAD START","SETTLEMENT MUSIC HEAD START","6128 GERMANTOWN AVE.","19144",,"PHILADELPHIA","PA","2153202600","PK","PK",,"EARLY CHILDHOOD"
"2170","TUNY HAVEN HEAD START","TUNY HAVEN HEAD START","111 S. INDEPENDENCE MALL EAST","19106",,"PHILADELPHIA","PA","2154409420","PK","PK",,"EARLY CHILDHOOD"
"2180","WOODLAND ACADEMY HEAD START","WOODLAND ACADEMY HEAD START","5401-09 GRAYS FERRY AVENUE","19143",,"PHILADELPHIA","PA","2157266646","PK","PK",,"EARLY CHILDHOOD"
"2250","APM HEAD START","APM HEAD START","2318 N. MARSHALL STREET","19133",,"PHILADELPHIA","PA","2157631040","PK","PK",,"EARLY CHILDHOOD"
"2280","ALGEN-FRANKLIN DAY NURSERY HS","ALGEN-FRANKLIN DAY NURSERY HS","719 JACKSON STREET","19148",,"PHILADELPHIA","PA","2153892991","PK","PK",,"EARLY CHILDHOOD"
"2560","COMMUNITY EDUC ALLIANCE HS","COMMUNITY EDUC ALLIANCE HS","907 N. 41ST STREET","19104",,"PHILADELPHIA","PA","2157901294","PK","PK",,"EARLY CHILDHOOD"
"2570","JUST CHILDREN-GRANT HS","JUST CHILDREN-GRANT HS","2901 GRANT AVENUE","19114",,"PHILADELPHIA","PA","2156771771","PK","PK",,"EARLY CHILDHOOD"
"2610","JUST CHILDREN-CONSHOHOCKEN HS","JUST CHILDREN-CONSHOHOCKEN HS","4723 CONSHOHOCKEN AVENUE","19131",,"PHILADELPHIA","PA","2154735757","PK","PK",,"EARLY CHILDHOOD"
"2700","KEN-CREST LEHIGH HEAD START","KEN-CREST LEHIGH HEAD START","2600 B STREET","19125",,"PHILADELPHIA","PA","2154271570","PK","PK",,"EARLY CHILDHOOD"
"2750","KEN-CREST NORTH HEAD START","KEN-CREST NORTH HEAD START","3907 N. BROAD STREET","19140",,"PHILADELPHIA","PA","2152270534","PK","PK",,"EARLY CHILDHOOD"
"0088","SPIN - DRUMMOND HEAD START","SPIN - DRUMMOND HEAD START","10521 DRUMMOND RD.","19154",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"2770","KEN-CREST SOUTH HEAD START","KEN-CREST SOUTH HEAD START","504 MORRIS STREET","19148",,"PHILADELPHIA","PA","2152718908","PK","PK",,"EARLY CHILDHOOD"
"2780","KEN-CREST WEST HEAD START","KEN-CREST WEST HEAD START","5900 ELMWOOD AVENUE","19143",,"PHILADELPHIA","PA","2157262310","PK","PK",,"EARLY CHILDHOOD"
"2790","KEN-CREST KENSINGTON HS","KEN-CREST KENSINGTON HS","H & ONTARIO STREETS","19134",,"PHILADELPHIA","PA","2157394547","PK","PK",,"EARLY CHILDHOOD"
"2121","E. VARE HEAD START","VARE, E. HEAD START","2100 S. 24TH ST.","19145",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"6392","STEEL SCHOOL HEAD START","STEEL SCHOOL HEAD START","4301 WAYNE AVE.","19140",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"1705","YOUNG WORLD HEAD START","YOUNG WORLD HEAD START","1737 FAIRMOUNT AVE.","19130",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"0089","CARING PEOPLE ALLIANCE-N. ECE","CARING PEOPLE ALLIANCE-N. ECE","1701 N. 18TH ST.","19122",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"0091","SETTLEMENT-QUEEN HEAD START","SETTLEMENT-QUEEN HEAD START","416 QUEEN ST.","19147",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"7218","BIRNEY HEAD START","BIRNEY HEAD START","908 W. LINDLEY AVE.","19141",,"PHILADELPHIA","PA","2154563000","PK","PK",,"EARLY CHILDHOOD"
"0092","CHILDSPACE HEAD START","CHILDSPACE HEAD START","7406 GERMANTOWN AVE.","19119",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"0093","LITTLE PEOPLE'S VILLAGE ECE","LITTLE PEOPLE'S VILLAGE ECE","904 N. 66TH ST.","19151",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"0094","YOUR CHILD'S WORLD ECE","YOUR CHILD'S WORLD ECE","7120 N. BROAD ST.","19126",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"0095","LIGHTHOUSE SATELLITE HEADSTART","LIGHTHOUSE SATELLITE HEADSTART","141 W. SOMERSET ST.","19133",,"PHILADELPHIA","PA",,,,,"EARLY CHILDHOOD"
"1268","COMEGYS BRIGHT FUTURES","COMEGYS BRIGHT FUTURES","5100 GREENWAY AVE.","19143",,"PHILADELPHIA","PA","2157272162","PK","PK",,"EARLY CHILDHOOD"
"5871","LIGHTHOUSE HS","LIGHTHOUSE HS","152 W. LEHIGH AVE.","19133",,"PHILADELPHIA","PA","2154257800","PK","PK",,"EARLY CHILDHOOD"
"5872","NORRIS SQUARE CIVIC ASSOC HS","NORRIS SQUARE CIVIC ASSOC HS","2010 N. MASCHER ST.","19122",,"PHILADELPHIA","PA","2156342251","PK","PK",,"EARLY CHILDHOOD"
"1601","CARING CENTER HEAD START","CARING CENTER HEAD START","3101 SPRING GARDEN ST.","19104",,"PHILADELPHIA","PA","2153868245","PK","PK",,"EARLY CHILDHOOD"
"0011","A STEP AHEAD ECE","A STEP AHEAD ECE","7802 CASTOR AVE.","19152",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"0012","APM - LUZERNE ECE","APM - LUZERNE ECE","1116 LUZERNE ST.","19124",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"0013","BAMBI DAY CARE ECE","BAMBI DAY CARE ECE","500 RED LION RD.","19115",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"0015","CREATIVE CHILDREN'S ACDMY ECE","CREATIVE CHILDREN'S ACDMY ECE","311 S. 56TH ST.","19143",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"0017","YEP/DISCOVERY PLACE ECE","YEP/DISCOVERY PLACE ECE","2029 S. 7TH ST.","19148",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"0020","GRACE TRINITY ECE","GRACE TRINITY ECE","5200 OXFORD AVE.","19124",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
